"Geslacht","Leeftijd","Migratieachtergrond","Perioden","Halt-jongeren/Totaal delicten (Aantal)","Halt-jongeren/Misdrijven (Halt)/Totaal misdrijven (Halt) (Aantal)","Halt-jongeren/Misdrijven (Halt)/Geweldsmisdrijven (Halt) (Aantal)","Halt-jongeren/Misdrijven (Halt)/Vernieling en openbare orde (Halt) (Aantal)","Halt-jongeren/Misdrijven (Halt)/Vermogensmisdrijven (Halt) (Aantal)","Halt-jongeren/Misdrijven (Halt)/Overige misdrijven (Halt) (Aantal)","Halt-jongeren/Overtredingen (Halt)/Totaal overtredingen (Halt) (Aantal)","Halt-jongeren/Overtredingen (Halt)/Baldadigheid (Halt) (Aantal)","Halt-jongeren/Overtredingen (Halt)/Overtreding Leerplichtwet (Aantal)","Halt-jongeren/Overtredingen (Halt)/Vuurwerkovertredingen (Halt) (Aantal)","Halt-jongeren/Overtredingen (Halt)/Overige overtredingen (Halt) (Aantal)","Halt-jongeren/Onbekend misdrijf of overtreding (Aantal)"
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2005",22230,12690,0,4630,8070,0,7630,2050,0,5080,500,1900
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2006",21550,12730,0,5080,7650,0,6750,2370,0,3830,550,2080
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2007",23310,12790,30,5230,7510,20,8170,2460,110,5210,390,2350
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2008",21510,11980,160,4730,7020,60,8580,2110,1890,4170,420,950
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2009",20480,10800,140,3520,7080,50,9140,1950,2020,3510,1660,540
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2010",17020,8040,120,1990,5700,230,8960,2260,2310,2630,1770,30
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2011",17300,7260,100,1740,5160,250,10030,2720,2500,2230,2570,20
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2012",17510,7440,220,1730,4910,580,10020,2930,3020,1930,2160,50
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2013",16540,6880,440,1300,4350,800,9650,2430,2860,1970,2390,10
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2014",16590,7340,630,1270,4470,970,9250,2120,2720,1880,2530,10
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2015",16250,7350,660,1030,4530,1140,8890,1930,2830,1550,2580,10
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2016",15640,6740,580,960,4200,1000,8890,2160,2830,1170,2740,10
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2017",16290,7440,620,1030,4730,1070,8850,2040,2800,1360,2650,0
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2018",14320,7030,640,910,4360,1130,7280,1380,2260,1260,2390,0
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2019",15100,7480,730,1020,4390,1340,7620,1360,2310,1200,2750,10
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2020",13230,5910,680,900,3200,1130,7260,1520,1100,1400,3240,60
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2021",10030,4650,660,890,2020,1080,5370,1430,1180,690,2070,10
"Totaal mannen en vrouwen","12 tot 18 jaar","Totaal","2022",9570,4490,630,780,1900,1190,5070,1360,1380,730,1590,10
"Mannen","12 tot 18 jaar","Totaal","2005",17200,8740,0,4230,4510,0,7150,1850,0,4880,430,1310
"Mannen","12 tot 18 jaar","Totaal","2006",16520,8790,0,4670,4120,0,6330,2200,0,3660,480,1400
"Mannen","12 tot 18 jaar","Totaal","2007",17740,8590,20,4780,3770,10,7610,2270,60,4950,330,1540
"Mannen","12 tot 18 jaar","Totaal","2008",15990,8020,110,4210,3660,50,7220,1880,1060,3960,310,760
"Mannen","12 tot 18 jaar","Totaal","2009",15050,7020,100,3200,3690,30,7560,1790,1150,3360,1260,470
"Mannen","12 tot 18 jaar","Totaal","2010",12400,5120,90,1860,2990,180,7260,2040,1360,2530,1330,20
"Mannen","12 tot 18 jaar","Totaal","2011",12650,4600,70,1590,2740,200,8040,2450,1490,2160,1940,20
"Mannen","12 tot 18 jaar","Totaal","2012",12840,4920,150,1590,2780,400,7890,2590,1820,1860,1620,30
"Mannen","12 tot 18 jaar","Totaal","2013",12110,4530,290,1180,2450,620,7560,2160,1690,1890,1820,10
"Mannen","12 tot 18 jaar","Totaal","2014",12300,4940,430,1170,2600,750,7350,1950,1660,1830,1920,0
"Mannen","12 tot 18 jaar","Totaal","2015",11940,5020,440,910,2790,870,6910,1740,1760,1530,1890,10
"Mannen","12 tot 18 jaar","Totaal","2016",11430,4660,410,870,2590,800,6770,1960,1760,1140,1910,0
"Mannen","12 tot 18 jaar","Totaal","2017",12060,5160,470,890,2960,840,6900,1860,1810,1330,1900,0
"Mannen","12 tot 18 jaar","Totaal","2018",10530,4800,460,790,2570,970,5730,1220,1550,1240,1720,0
"Mannen","12 tot 18 jaar","Totaal","2019",11220,5290,530,900,2690,1170,5920,1220,1590,1160,1940,0
"Mannen","12 tot 18 jaar","Totaal","2020",10180,4290,490,770,2030,1010,5840,1320,750,1370,2410,50
"Mannen","12 tot 18 jaar","Totaal","2021",7740,3540,460,730,1410,930,4200,1200,850,680,1470,10
"Mannen","12 tot 18 jaar","Totaal","2022",7270,3210,430,620,1140,1020,4050,1230,910,710,1200,10
"Vrouwen","12 tot 18 jaar","Totaal","2005",5030,3950,0,400,3550,0,480,200,0,210,80,600
"Vrouwen","12 tot 18 jaar","Totaal","2006",5030,3940,0,410,3530,0,420,170,0,170,80,670
"Vrouwen","12 tot 18 jaar","Totaal","2007",5570,4200,10,450,3730,0,560,200,50,260,50,810
"Vrouwen","12 tot 18 jaar","Totaal","2008",5520,3960,50,530,3360,10,1360,230,830,210,110,200
"Vrouwen","12 tot 18 jaar","Totaal","2009",5440,3770,40,330,3400,10,1580,160,870,150,400,80
"Vrouwen","12 tot 18 jaar","Totaal","2010",4620,2920,30,140,2710,50,1700,220,950,100,430,10
"Vrouwen","12 tot 18 jaar","Totaal","2011",4650,2660,40,150,2420,50,1990,270,1020,80,630,0
"Vrouwen","12 tot 18 jaar","Totaal","2012",4680,2520,70,140,2130,180,2140,330,1200,70,540,20
"Vrouwen","12 tot 18 jaar","Totaal","2013",4440,2350,150,120,1900,180,2090,270,1170,80,570,0
"Vrouwen","12 tot 18 jaar","Totaal","2014",4290,2400,200,100,1870,220,1890,170,1060,50,620,0
"Vrouwen","12 tot 18 jaar","Totaal","2015",4310,2330,210,120,1740,270,1980,190,1060,20,700,0
"Vrouwen","12 tot 18 jaar","Totaal","2016",4210,2080,170,90,1610,200,2130,200,1080,30,820,0
"Vrouwen","12 tot 18 jaar","Totaal","2017",4230,2280,150,130,1770,230,1950,180,990,30,750,0
"Vrouwen","12 tot 18 jaar","Totaal","2018",3790,2230,170,120,1790,160,1560,160,710,20,670,0
"Vrouwen","12 tot 18 jaar","Totaal","2019",3890,2180,190,120,1700,170,1700,140,720,30,810,0
"Vrouwen","12 tot 18 jaar","Totaal","2020",3000,1610,200,140,1160,120,1380,190,350,30,810,10
"Vrouwen","12 tot 18 jaar","Totaal","2021",2290,1110,200,160,610,150,1180,230,340,10,600,0
"Vrouwen","12 tot 18 jaar","Totaal","2022",2290,1280,200,160,750,170,1010,130,470,20,390,0
